"method","moi","mu","th","jaccard","precision","recall"
"valley","highMOI",50,"th05",0.567196294502741,0.811883090387636,0.682076682554201
"valley","highMOI",50,"th15",0.684763319962772,0.867486640505629,0.793299279620619
"valley","highMOI",150,"th015",0.493230737023524,0.696739509471316,0.669642333429467
"valley","highMOI",150,"th05",0.570724795597632,0.838928698115822,0.680951760439362
"valley","highMOI",150,"th15",0.800051918993787,0.925094337761959,0.867957867895598
"valley","highMOI",500,"th015",0.427962641425133,0.780715376874684,0.541891226390404
"valley","highMOI",500,"th05",0.648725633471717,0.861778674712424,0.758155887036496
"valley","highMOI",500,"th15",0.816031604202405,0.95380760726731,0.85642796882764
"valley","lowMOI",5,"th015",0.277388350920457,0.552714177504789,0.389593860884844
"valley","lowMOI",5,"th05",0.290129589438412,0.63842242764588,0.36705454755549
"valley","lowMOI",5,"th15",0.254092911149956,0.65806177504032,0.315066027697082
"valley","lowMOI",15,"th015",0.386832614221771,0.643161967314152,0.518803835569585
"valley","lowMOI",15,"th05",0.463888357875601,0.778650017151775,0.557706084527252
"valley","lowMOI",15,"th15",0.434250740237553,0.777108692519413,0.534619020393641
"valley","lowMOI",50,"th015",0.41753800901734,0.674516463755314,0.573599427587812
"valley","lowMOI",50,"th05",0.57514203168842,0.766169919671536,0.725447013234401
"valley","lowMOI",50,"th15",0.665998505950536,0.883998532603391,0.761303330684611
"valley","lowMOI",150,"th015",0.450997263011261,0.701666928162861,0.607672351807526
"valley","lowMOI",150,"th05",0.514528416306165,0.783137567519452,0.647858077408962
"valley","lowMOI",150,"th15",0.822177148572378,0.913129883084909,0.905007038299161
"valley","lowMOI",500,"th015",0.470708935751203,0.76668597273721,0.599436998789602
"valley","lowMOI",500,"th05",0.633298604575518,0.86264950527479,0.736683499697578
"valley","lowMOI",500,"th15",0.918166466279117,0.947631045402743,0.970450439688732
